sat_name, sma, inclination
CUTE-1 (CO-55),7192.59227261,98.6989
CUBESAT XI-IV (CO-57),7193.66750265,98.7084
CUBESAT XI-V (CO-58),7059.07227971,97.8312
NTS (CANX-6),6987.57941203,97.6926
CUTE-1.7+APD II (CO-65),6984.35439659,97.6941
COMPASS-1,6975.84477373,97.6965
DELFI-C3 (DO-64),6957.88449417,97.7171
CANX-2,6984.81214932,97.69
SEEDS II (CO-66),6980.20094657,97.6959
SWISSCUBE,7083.23255348,98.3844
BEESAT,7082.27323178,98.3844
ITUPSAT 1,7084.56474941,98.3945
TISAT 1,6982.9671314,98.0169
M-CUBED & EXP-1 PRIME,6968.70939348,101.7134
MASAT 1 (MO-72),6886.16843242,69.4535
XATCOBEO,6674.22414556,69.4262
AAUSAT3,7148.70485926,98.6164
STRAND-1,7148.87014376,98.6245
BRITE-AUSTRIA,7148.4193926,98.6163
UNIBRITE,7148.83828826,98.6178
DOVE-2,6936.62754336,64.8736
AIST-2,6938.65086874,64.8781
SOMP,6924.24503253,64.8736
BEESAT-2,6926.34416467,64.874
NEE-01 PEGASUS,7008.8822284,98.0405
CUBEBUG-1 (CAPITAN BETO),7008.37289597,98.0413
ESTCUBE 1,7033.0061069,98.0942
POPACS 1,7239.04682657,81.0089
POPACS 2,7251.29235738,80.9986
POPACS 3,7258.08263769,80.9963
PHONESAT 2.4,6863.39045438,40.5106
CAPE-2,6791.60458377,40.4921
KYSAT II,6835.50199069,40.5022
ORSES,6857.222892,40.5056
ORS TECH 1,6841.08117499,40.5222
PROMETHEUS 1-4,6856.52556382,40.5037
PROMETHEUS 1-2,6856.66842959,40.5051
PROMETHEUS 1-5,6855.62925444,40.5235
PROMETHEUS 1-6,6856.50827145,40.5213
ORS TECH 2,6842.09480294,40.5192
FIREFLY,6864.66452813,40.5218
VERMONT LUNAR,6855.68694506,40.5271
PROMETHEUS 1-3,6856.35141482,40.5054
ZACUBE-1 (TSHEPISOSAT),7007.03548778,97.7706
WNISAT-1,7091.91758115,97.7494
CINEMA-2 (KHUSAT-2),7031.9337105,97.7652
CINEMA-3 (KHUSAT-2),7040.48218274,97.7597
TRITON-1,7047.6299645,97.7584
GOMX 1,7075.27780183,97.7517
BRITE-PL,7110.86511586,97.7434
HUMSAT-D,6980.5353024,97.7749
EAGLE 2,6966.31023136,97.7745
VELOX-PII,7015.75370652,97.7677
CUBEBUG-2 (LO-74),7023.09738101,97.7663
NEE-02 KRYSAOR,7023.92932123,97.7648
FUNCUBE-1 (AO-73),7006.28812691,97.7679
UWE-3,7015.32391485,97.7701
FLOCK 1-12,6728.11880442,51.6385
FLOCK 1-18,6730.81424509,51.6397
FLOCK 1-20,6717.11444765,51.6465
SKYCUBE,6736.16536845,51.6419
INVADER (CO-77),6639.69266667,64.998
BRITE-TORONTO,7048.07392828,97.9647
DUCHIFAT-1,6984.29605738,97.9765
NANOSATC-BR1,6984.63517291,97.9778
QB50P1,6984.74876581,97.9768
FLOCK 1C-7,6984.68138237,97.9823
FLOCK 1C-1,6984.93198401,97.9836
POPSAT-HIP-1,6985.2534503,97.9789
FLOCK 1C-2,6985.86771358,97.9827
FLOCK 1C-4,6985.04069195,97.9834
QB50P2,6985.96788767,97.9773
FLOCK 1C-11,6985.99171449,97.9835
ANTELSAT,7029.1828026,97.9738
FLOCK 1C-9,6985.85903932,97.9835
FLOCK 1C-6,6986.39663605,97.9836
PERSEUS-M2,6986.64581668,97.9816
FLOCK 1C-5,6986.4834289,97.9827
PERSEUS-M1,6987.73722309,97.9818
FLOCK 1C-8,6986.97415296,97.985
FLOCK 1C-3,6986.65338071,97.9828
POLYITAN-1,6988.0119895,97.9843
TIGRISAT,7026.19886662,97.9717
LEMUR-1,7026.49195015,97.9725
AEROCUBE 6A,7028.88201358,97.9744
AEROCUBE 6B,7028.94031414,97.9707
UKUBE-1,7000.20497867,98.4001
CHASQUI-1,6792.04600262,51.6397
